sign,intensity,target,n_seeds,anchor_mae,corrected_mae,xgb_diff_anchor_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,lightgbm_mae,rescue_mean,rescue_sd,positive_seeds,nominal_penalty_rel_mean,detection_delay_mean,post_detection_rescue_mean,max_mae_amplification,rescue_ci_lo,rescue_ci_hi,ci_method,ci_excludes_zero_positive,m2p_improvement_vs_lightgbm,green_cell
-1.0,0.5,electric conductivity,5,99.61704994345047,99.61704994345047,99.61704994345047,99.61704994345047,0.0,0.0,99.66385443654261,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.0004696235496485235,
-1.0,0.5,ph,5,0.29648290305372327,0.29648290305372327,0.29648290305372327,0.29648290305372327,0.0,0.0,0.3068495836724647,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.033784242085877936,
-1.0,0.5,temperature,5,1.4338094281116824,1.4338094281116824,1.4338094281116824,1.4338094281116824,0.0,0.0,1.5451269522972382,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.07204425760618116,
-1.0,1.0,electric conductivity,5,198.7499261739606,198.7499261739606,198.7499261739606,198.7499261739606,0.0,0.0,198.86685408529743,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.0005879708404633588,
-1.0,1.0,ph,5,0.6245409163677066,0.6245409163677066,0.6245409163677066,0.6245409163677066,0.0,0.0,0.6370337961472238,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.019611015702893697,
-1.0,1.0,temperature,5,2.9087461606584197,2.897656312985759,2.9087461606584197,2.897656312985759,0.011089847672660361,0.3567020038409473,3.0552126486095363,0.0035670200384094602,0.007976099282987464,1,0.0,1.0,0.0,1.0,-0.006336615287374949,0.01347065536419387,"two-sided Student-t, df=n_seeds-1",False,0.05156967901906373,
-1.0,1.5,electric conductivity,5,297.22719266367596,297.22719266367596,297.22719266367596,297.22719266367596,0.0,0.0,297.6630763831031,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.0014643526658514316,
-1.0,1.5,ph,5,0.9325998005891545,0.9325998005891545,0.9325998005891545,0.9325998005891545,0.0,0.0,0.9818325186719203,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.05014370286834735,
-1.0,1.5,temperature,5,4.449526754543529,4.449526754543529,4.449526754543529,4.449526754543529,0.0,0.0,4.599172830261574,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.0325376064872811,
-1.0,2.0,electric conductivity,5,395.48930318470264,395.48930318470264,395.48930318470264,395.48930318470264,0.0,0.0,396.63980072288297,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.0029006104180254733,False
-1.0,2.0,ph,5,1.2625659248393526,1.2625659248393526,1.2625659248393526,1.2625659248393526,0.0,0.0,1.3218019137147277,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.044814573394663326,False
-1.0,2.0,temperature,5,6.015416352818731,6.015416352818731,6.015416352818731,6.015416352818731,0.0,0.0,6.132826260429914,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.019144502489615967,False
-1.0,3.0,electric conductivity,5,594.8252991487357,594.8252991487357,594.8252991487357,594.8252991487357,0.0,0.0,595.0114112101577,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.00031278738174700393,False
-1.0,3.0,ph,5,1.8750401259603784,1.8750401259603784,1.8750401259603784,1.8750401259603784,0.0,0.0,1.9968435953125354,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.060998001865585794,False
-1.0,3.0,temperature,5,9.099139554670021,9.099139554670021,9.099139554670021,9.099139554670021,0.0,0.0,9.203961588806095,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.011388795262200935,False
-1.0,4.0,electric conductivity,5,772.9598989389675,772.9598989389675,772.9598989389675,772.9598989389675,0.0,0.0,793.2647547801784,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.02559656876075067,False
-1.0,4.0,ph,5,2.598266512442583,2.598266512442583,2.598266512442583,2.598266512442583,0.0,0.0,2.6950065588153564,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.03589603374297434,False
-1.0,4.0,temperature,5,12.202445624349721,12.202445624349721,12.202445624349721,12.202445624349721,0.0,0.0,12.261160527549091,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.004788690521378092,False
1.0,0.5,electric conductivity,5,98.54841794115377,98.54841794115377,98.54841794115377,98.54841794115377,0.0,0.0,98.32365252851169,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.002285975010711816,
1.0,0.5,ph,5,0.3665581104758484,0.3665581104758484,0.3665581104758484,0.3665581104758484,0.0,0.0,0.3657696476242917,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.002155626790461884,
1.0,0.5,temperature,5,1.5884543721688356,1.5884543721688356,1.5884543721688356,1.5884543721688356,0.0,0.0,1.5311973936578638,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.03739359716005719,
1.0,1.0,electric conductivity,5,197.58100959524788,197.58100959524788,197.58100959524788,197.58100959524788,0.0,0.0,197.46301442013404,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.0005975558281652305,
1.0,1.0,ph,5,0.6606768090048108,0.6606768090048108,0.6606768090048108,0.6606768090048108,0.0,0.0,0.6987729108741197,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.05451857288178663,
1.0,1.0,temperature,5,3.1016152422080987,3.1016152422080987,3.1016152422080987,3.1016152422080987,0.0,0.0,3.0841000605688897,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.005679187216765635,
1.0,1.5,electric conductivity,5,293.01045235575174,293.01045235575174,293.01045235575174,293.01045235575174,0.0,0.0,296.75861780069636,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.012630350797299794,
1.0,1.5,ph,5,1.026419356002402,1.026419356002402,1.026419356002402,1.026419356002402,0.0,0.0,1.052228360326733,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.02452794972786798,
1.0,1.5,temperature,5,4.630401794755032,4.630401794755032,4.630401794755032,4.630401794755032,0.0,0.0,4.584391376064757,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.01003631996397547,
1.0,2.0,electric conductivity,5,392.0502739520418,392.0502739520418,392.0502739520418,392.0502739520418,0.0,0.0,395.8099521499581,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.009498695466080509,False
1.0,2.0,ph,5,1.3817741004577537,1.3817741004577537,1.3817741004577537,1.3817741004577537,0.0,0.0,1.390796382398753,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.006487133598548911,False
1.0,2.0,temperature,5,6.1302009966655415,6.1302009966655415,6.1302009966655415,6.1302009966655415,0.0,0.0,6.096795985443573,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.005479109240611679,False
1.0,3.0,electric conductivity,5,520.5136601505002,520.5136601505002,520.5136601505002,520.5136601505002,0.0,0.0,593.7894695754014,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.12340368628850606,False
1.0,3.0,ph,5,2.0655681125190304,2.0655681125190304,2.0655681125190304,2.0655681125190304,0.0,0.0,2.080567088709505,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.007209080770271048,False
1.0,3.0,temperature,5,9.199524733562999,9.199524733562999,9.199524733562999,9.199524733562999,0.0,0.0,9.144693552778794,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,-0.00599595606651504,False
1.0,4.0,electric conductivity,5,736.9656234777647,736.9656234777647,736.9656234777647,736.9656234777647,0.0,0.0,791.9157709148635,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.06938887878646172,False
1.0,4.0,ph,5,2.4829047895501217,2.4829047895501217,2.4829047895501217,2.4829047895501217,0.0,0.0,2.755676726761715,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.09898546319405777,False
1.0,4.0,temperature,5,12.116084189032463,12.116084189032463,12.116084189032463,12.116084189032463,0.0,0.0,12.18661932065653,0.0,0.0,0,0.0,,,1.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1",False,0.005787916219267442,False
