variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
Full,0.1,dissolved oxygen,5,0.0,0.0,0,0.5430705659465186,0.5430705659465186,0.5430705659465186,0.0,0.0,0.0753982036374509,0.0753982036374509,0.0,0.5387402662955086,0.5387402662955086,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.1,electric conductivity,5,0.0,0.0,0,10.910078120797689,10.910078120797689,10.910078120797689,0.0,0.0,2.2918391813828918,2.2918391813828918,0.0,10.830279612099405,10.830279612099405,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.1,ph,5,0.0,0.0,0,0.39434349599527485,0.39434349599527485,0.39434349599527485,0.0,0.0,0.09777524759217679,0.09777524759217679,0.0,0.3915974936952461,0.3915974936952461,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.1,temperature,5,0.0,0.0,0,1.1415392156246804,1.1415392156246804,1.1415392156246804,0.0,0.0,0.049087525158932235,0.049087525158932235,0.0,1.131423922194442,1.131423922194442,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.15,dissolved oxygen,5,0.0,0.0,0,0.5729190160291722,0.5729190160291722,0.5729190160291722,0.0,0.0,0.049900908209383435,0.049900908209383435,0.0,0.5680762557715815,0.5680762557715815,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.15,electric conductivity,5,0.0,0.0,0,16.44114334304905,16.44114334304905,16.44114334304905,0.0,0.0,2.5417948444678755,2.5417948444678755,0.0,16.312445671765893,16.312445671765893,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.15,ph,5,0.062131062642437285,0.13892927958278747,1,0.5849868839379386,0.5472872451484221,0.5472872451484221,0.037699638789516585,6.213106264243728,0.07422739695758121,0.07422739695758121,0.0,0.5802576294288613,0.5429070613688772,0.03735056805998404,6.204692074720578,0.2,0.2,-0.11037242211189552,0.2346345473967701,"two-sided Student-t, df=n_seeds-1"
Full,0.15,temperature,5,0.0254371733978725,0.0568792488730922,1,1.6902684176694371,1.6472949799033887,1.6472949799033887,0.0429734377660484,2.5437173397872503,0.0498087007551255,0.0498087007551255,0.0,1.6750789758461564,1.6325034402816456,0.0425755355645109,2.5434480886241184,0.2,0.2,-0.04518774217271825,0.09606208896846324,"two-sided Student-t, df=n_seeds-1"
Full,0.2,dissolved oxygen,5,0.0,0.0,0,0.6137926780658777,0.6137926780658777,0.6137926780658777,0.0,0.0,0.05501096639782188,0.05501096639782188,0.0,0.6086187733282105,0.6086187733282105,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.2,electric conductivity,5,0.0,0.0,0,23.17005392219017,23.17005392219017,23.17005392219017,0.0,0.0,1.1582048922773822,1.1582048922773822,0.0,22.96624050524653,22.96624050524653,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Full,0.2,ph,5,0.0654874422856407,0.1464343726232868,1,0.7958471537957175,0.7416967823033999,0.7416967823033999,0.05415037149231754,6.54874422856407,0.10378135141606956,0.10378135141606956,0.0,0.7894391371070171,0.7357901579433321,0.05364897916368498,6.54118120433817,0.4,0.4,-0.11633484630024978,0.24730973087153119,"two-sided Student-t, df=n_seeds-1"
